Company Name,City,State,Industry,Website (Search)
Sudarshan Chemical Industries Ltd.,Pune,Maharashtra,Chemicals,Search
Tata Chemicals Ltd.,Mumbai,Maharashtra,Chemicals,Search
Hindustan Antibiotics Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Aquapharm Chemicals Pvt. Ltd.,Pune,Maharashtra,Chemicals,Search
Elkay Chemicals Pvt. Ltd.,Pune,Maharashtra,Chemicals,Search
Indian Oxides and Chemicals Pvt. Ltd.,Mumbai,Maharashtra,Chemicals,Search
Emcure Pharmaceuticals Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Alkyl Amines Chemicals Ltd.,Navi Mumbai,Maharashtra,Chemicals,Search
Centaur Pharmaceuticals Pvt. Ltd.,Mumbai,Maharashtra,Pharmaceuticals,Search
Innovassynth Technologies (India) Ltd.,Raigad,Maharashtra,Chemicals,Search
Omniactive Health Technologies Ltd.,Mumbai,Maharashtra,Health Sciences,Search
Hikal Ltd.,Navi Mumbai,Maharashtra,Chemicals,Search
Enzene Biosciences Ltd.,Pune,Maharashtra,Biotechnology,Search
Strand Life Sciences Pvt. Ltd.,Bangalore,Karnataka,Biotechnology,Search
Kan Biosys Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Ajay Bio-Tech (India) Ltd.,Pune,Maharashtra,Biotechnology,Search
Gennova Biopharmaceuticals Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Granules India Ltd.,Hyderabad,Telangana,Pharmaceuticals,Search
Serum Institute of India Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Agio Pharmaceuticals Ltd.,Mumbai,Maharashtra,Pharmaceuticals,Search
Deepak Novochem Technologies Ltd.,Pune,Maharashtra,Chemicals,Search
Rasayani Biologics Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Ross Lifescience Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Hi Tech Bio-Sciences India Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Jay Research & Biotech India Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
AbGenics LifeSciences Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Rathi Dye Chem Pvt. Ltd.,Pune,Maharashtra,Chemicals,Search
Clean Science and Technology Ltd.,Pune,Maharashtra,Chemicals,Search
Rise N' Shine Biotech Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Mansoon Seeds Pvt. Ltd.,Pune,Maharashtra,Agriculture,Search
Intox Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Regrow Biosciences Pvt. Ltd.,Mumbai,Maharashtra,Biotechnology,Search
Ahammune Biosciences Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Green Vision Life Sciences Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Fujifilm Sericol India Pvt. Ltd.,Pune,Maharashtra,Chemicals,Search
Serigen Mediproducts Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
M. J. Biopharm Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Venky's (India) Ltd.,Pune,Maharashtra,Agriculture,Search
Enza Zaden India Pvt. Ltd.,Pune,Maharashtra,Agriculture,Search
Sarvoshadhi Biotech Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
BVG Life Sciences Ltd.,Pune,Maharashtra,Biotechnology,Search
Canpex Chemicals Pvt. Ltd.,Pune,Maharashtra,Chemicals,Search
Greenvention Biotech Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Murli Krishna Pharma Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
PRADO Preclinical Research And Development Organisation Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Isera Biological Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Lupin Ltd.,Mumbai,Maharashtra,Pharmaceuticals,Search
Accurate Diagnostics Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Nova ChemDrugs Pvt. Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Manshya Enviro Biotech Pvt. Ltd.,Pune,Maharashtra,Biotechnology,Search
Ulink Agritech Pvt. Ltd.,Pune,Maharashtra,Agriculture,Search
Cipla Ltd.,Pune,Maharashtra,Pharmaceuticals,Search
Okasa Pharma Pvt. Ltd.,Satara,Maharashtra,Pharmaceuticals,Search
Mediorals Laboratories Pvt. Ltd.,Satara,Maharashtra,Pharmaceuticals,Search
